from_airport,from_city,from_country,from_long,from_lat,to_airport,to_city,to_country,to_long,to_lat,airline,airline_country,distance
Arlanda,Stockholm,Sweden,18.531,60.086,Riga Intl,Riga,Latvia,24.618,57.539,Air Baltic,Latvia,450
Kastrup,Copenhagen,Denmark,13.093,56.029,Riga Intl,Riga,Latvia,24.618,57.539,Air Baltic,Latvia,720
Helsinki Vantaa,Helsinki,Finland,25.605,60.528,Riga Intl,Riga,Latvia,24.618,57.539,Air Baltic,Latvia,337
Lappeenranta,Lappeenranta,Finland,28.24,61.074,Riga Intl,Riga,Latvia,24.618,57.539,Air Baltic,Latvia,443
Riga Intl,Riga,Latvia,24.618,57.539,Arlanda,Stockholm,Sweden,18.531,60.086,Air Baltic,Latvia,450
Riga Intl,Riga,Latvia,24.618,57.539,Dusseldorf,Duesseldorf,Germany,7.277,51.482,Air Baltic,Latvia,1300
Riga Intl,Riga,Latvia,24.618,57.539,Khrabrovo,Kaliningrad,Russia,20.987,55.483,Air Baltic,Latvia,319
Riga Intl,Riga,Latvia,24.618,57.539,Gardermoen,Oslo,Norway,11.167,60.323,Air Baltic,Latvia,829
Riga Intl,Riga,Latvia,24.618,57.539,Tallinn,Tallinn-ulemiste International,Estonia,25.388,59.688,Air Baltic,Latvia,243
Riga Intl,Riga,Latvia,24.618,57.539,Zurich,Zurich,Switzerland,8.915,47.774,Air Baltic,Latvia,1509
Tallinn,Tallinn-ulemiste International,Estonia,25.388,59.688,Riga Intl,Riga,Latvia,24.618,57.539,Air Baltic,Latvia,243
Vilnius Intl,Vilnius,Lithuania,25.476,55.056,Arlanda,Stockholm,Sweden,18.531,60.086,Air Baltic,Latvia,695
Catania Fontanarossa,Catania,Italy,15.11,37.777,Fiumicino,Rome,Italy,12.417,42.34,Blue Panorama Airlines,Italy,556
Fiumicino,Rome,Italy,12.417,42.34,Palermo,Palermo,Italy,13.151,38.293,Blue Panorama Airlines,Italy,454
Jose Marti Intl,Havana,Cuba,-82.016,23.648,Malpensa,Milano,Italy,9.213,46.051,Blue Panorama Airlines,Italy,8231
Reggio Calabria,Reggio Calabria,Italy,16.085,38.118,Linate,Milan,Italy,9.461,45.741,Blue Panorama Airlines,Italy,1008
Grantley Adams Intl,Bridgetown,Barbados,-59.155,13.124,Piarco,Port-of-spain,Trinidad and Tobago,-60.896,10.992,Caribbean Airlines,Trinidad and Tobago,303
Point Salines Intl,Point Salines,Grenada,-61.644,12.007,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Caribbean Airlines,Trinidad and Tobago,3953
Norman Manley Intl,Kingston,Jamaica,-76.646,18.559,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,-79.588,26.12,Caribbean Airlines,Trinidad and Tobago,893
Norman Manley Intl,Kingston,Jamaica,-76.646,18.559,Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Caribbean Airlines,Trinidad and Tobago,2854
Lynden Pindling Intl,Nassau,Bahamas,-77.111,25.064,Sangster Intl,Montego Bay,Jamaica,-77.856,18.839,Caribbean Airlines,Trinidad and Tobago,696
Piarco,Port-of-spain,Trinidad and Tobago,-60.896,10.992,Point Salines Intl,Point Salines,Grenada,-61.644,12.007,Caribbean Airlines,Trinidad and Tobago,139
Princess Juliana Intl,Philipsburg,Netherlands Antilles,-62.515,18.068,Norman Manley Intl,Kingston,Jamaica,-76.646,18.559,Caribbean Airlines,Trinidad and Tobago,1492
Jeju Intl,Cheju,South Korea,126.821,33.852,Gimpo,Seoul,South Korea,127.317,37.93,Air Busan,Republic of Korea,455
Gimhae Intl,Busan,South Korea,129.563,35.299,Mactan Cebu Intl,Cebu,Philippines,124.632,10.512,Air Busan,Republic of Korea,2800
Gimhae Intl,Busan,South Korea,129.563,35.299,Weihai Airport,Weihai,China,122.381,37.311,Air Busan,Republic of Korea,681
Bata,Bata,Equatorial Guinea,10.342,2.509,Malabo,Malabo,Equatorial Guinea,9.181,4.258,Chicago Express,United States,233
Munster Osnabruck,Muenster/osnabrueck,Germany,8.141,52.224,Stuttgart,Stuttgart,Germany,9.369,49.149,Cirrus Airlines,Germany,352
Zurich,Zurich,Switzerland,8.915,47.774,Dresden,Dresden,Germany,14.278,51.221,Cirrus Airlines,Germany,544
Baotou Airport,Baotou,China,110.661,40.933,Baiyun Intl,Guangzhou,China,113.497,23.654,Air China,China,1939
Suvarnabhumi Intl,Bangkok,Thailand,101.245,14.135,Baiyun Intl,Guangzhou,China,113.497,23.654,Air China,China,1666
Baiyun Intl,Guangzhou,China,113.497,23.654,Suvarnabhumi Intl,Bangkok,Thailand,101.245,14.135,Air China,China,1666
Baiyun Intl,Guangzhou,China,113.497,23.654,Dachuan Airport,Dazhou,China,107.833,31.5,Air China,China,1035
Baiyun Intl,Guangzhou,China,113.497,23.654,Ataturk,Istanbul,Turkey,29.357,41.628,Air China,China,7821
Baiyun Intl,Guangzhou,China,113.497,23.654,Lukou,Nanjing,China,119.436,32.236,Air China,China,1117
Baiyun Intl,Guangzhou,China,113.497,23.654,Jinan,Jinan,China,117.359,37.428,Air China,China,1575
Baiyun Intl,Guangzhou,China,113.497,23.654,Zhangxiao,Yuncheng,China,111.655,35.03,Air China,China,1277
Xinzheng,Zhengzhou,China,114.401,34.866,Yinchuan,Yinchuan,China,106.015,38.803,Air China,China,864
Xinzheng,Zhengzhou,China,114.401,34.866,Liuting,Qingdao,China,120.624,36.443,Air China,China,588
Changchun,Changchun,China,125.2,43.902,Liuting,Qingdao,China,120.624,36.443,Air China,China,915
Jiangbei,Chongqing,China,107.069,30.198,Xiaoshan,Hangzhou,China,120.724,30.382,Air China,China,1310
Jiangbei,Chongqing,China,107.069,30.198,Pudong,Shanghai,China,122.342,31.238,Air China,China,1463
Jiangbei,Chongqing,China,107.069,30.198,Wenzhou Yongqiang Airport,Wenzhou,China,121.42,28.52,Air China,China,1402
Huanghua,Changcha,China,113.366,28.315,Luogang,Hefei,China,117.497,32.3,Air China,China,594
Huanghua,Changcha,China,113.366,28.315,Baoan Intl,Shenzhen,China,114.351,23.065,Air China,China,592
New Chitose,Sapporo,Japan,142.153,43.292,Capital Intl,Beijing,China,116.974,40.133,Air China,China,2111
Shuangliu,Chengdu,China,104.578,30.964,Changzhou,Changzhou,China,120.186,32.569,Air China,China,1484
Shuangliu,Chengdu,China,104.578,30.964,Hong Kong Intl,Hong Kong,Hong Kong,114.524,22.514,Air China,China,1361
Shuangliu,Chengdu,China,104.578,30.964,Changbei Intl,Nanchang,China,116.5,29.441,Air China,China,1157
Shuangliu,Chengdu,China,104.578,30.964,Nyingchi Airport,Nyingchi,China,94.558,29.505,Air China,China,975
Shuangliu,Chengdu,China,104.578,30.964,Shenyang Taoxian International Airport,Shenyang,China,123.483,41.637,Air China,China,2060
Shuangliu,Chengdu,China,104.578,30.964,Binhai,Tianjin,China,117.576,39.207,Air China,China,1493
Shuangliu,Chengdu,China,104.578,30.964,Gaoqi,Xiamen,China,118.212,24.906,Air China,China,1497
Changzhou,Changzhou,China,120.186,32.569,Taiping,Harbin,China,126.417,46.039,Air China,China,1589
Dandong,Dandong,China,124.477,40.042,Capital Intl,Beijing,China,116.974,40.133,Air China,China,638
Zhoushuizi,Dalian,China,121.897,39.609,Fukuoka,Fukuoka,Japan,130.751,33.976,Air China,China,1006
Zhoushuizi,Dalian,China,121.897,39.609,Capital Intl,Beijing,China,116.974,40.133,Air China,China,424
Zhoushuizi,Dalian,China,121.897,39.609,Laishan,Yantai,China,121.619,37.669,Air China,China,217
Fiumicino,Rome,Italy,12.417,42.34,Capital Intl,Beijing,China,116.974,40.133,Air China,China,8118
Changle,Fuzhou,China,120.105,26.558,Jinan,Jinan,China,117.359,37.428,Air China,China,1235
Gimpo,Seoul,South Korea,127.317,37.93,Capital Intl,Beijing,China,116.974,40.133,Air China,China,925
Meilan,Haikou,China,110.764,20.558,Changle,Fuzhou,China,120.105,26.558,Air China,China,1161
Baita Airport,Huhhot,China,112.373,41.419,Baiyun Intl,Guangzhou,China,113.497,23.654,Air China,China,1978
Baita Airport,Huhhot,China,112.373,41.419,Jinan,Jinan,China,117.359,37.428,Air China,China,616
Luogang,Hefei,China,117.497,32.3,Capital Intl,Beijing,China,116.974,40.133,Air China,China,872
Xiaoshan,Hangzhou,China,120.724,30.382,Huanghua,Changcha,China,113.366,28.315,Air China,China,749
Xiaoshan,Hangzhou,China,120.724,30.382,Kansai,Osaka,Japan,135.406,34.724,Air China,China,1456
Xiaoshan,Hangzhou,China,120.724,30.382,Shenyang Taoxian International Airport,Shenyang,China,123.483,41.637,Air China,China,1275
Xiaoshan,Hangzhou,China,120.724,30.382,Gaoqi,Xiamen,China,118.212,24.906,Air China,China,657
Hong Kong Intl,Hong Kong,Hong Kong,114.524,22.514,Capital Intl,Beijing,China,116.974,40.133,Air China,China,1972
Tokyo Intl,Tokyo,Japan,140.299,35.92,Capital Intl,Beijing,China,116.974,40.133,Air China,China,2089
Taiping,Harbin,China,126.417,46.039,Lukou,Nanjing,China,119.436,32.236,Air China,China,1646
Hotan,Hotan,China,80.441,37.064,Diwopu,Urumqi,China,87.79,44.511,Air China,China,1032
Incheon Intl,Seoul,South Korea,126.75,37.781,Luogang,Hefei,China,117.497,32.3,Air China,China,1038
Yinchuan,Yinchuan,China,106.015,38.803,Xinzheng,Zhengzhou,China,114.401,34.866,Air China,China,864
Yinchuan,Yinchuan,China,106.015,38.803,Xianyang,Xi'an,China,109.252,34.745,Air China,China,535
Jingdezhen Airport,Jingdezhen,China,117.293,29.564,Baoan Intl,Shenzhen,China,114.351,23.065,Air China,China,779
Quanzhou Airport,Quanzhou,China,118.983,25.327,Baoan Intl,Shenzhen,China,114.351,23.065,Air China,China,532
Changbei Intl,Nanchang,China,116.5,29.441,Ganzhou Airport,Ganzhou,China,115.52,26.376,Air China,China,354
Kansai,Osaka,Japan,135.406,34.724,Zhoushuizi,Dalian,China,121.897,39.609,Air China,China,1312
Wujiaba,Kunming,China,103.239,25.653,Shuangliu,Chengdu,China,104.578,30.964,Air China,China,604
Wujiaba,Kunming,China,103.239,25.653,Jinan,Jinan,China,117.359,37.428,Air China,China,1867
Tribhuvan Intl,Kathmandu,Nepal,85.598,28.16,Lhasa-Gonggar,Lhasa,China,91.519,29.496,Air China,China,595
Longdongbao,Guiyang,China,107.334,26.897,Lukou,Nanjing,China,119.436,32.236,Air China,China,1311
Liangjiang,Guilin,China,110.065,25.363,Xinzheng,Zhengzhou,China,114.401,34.866,Air China,China,1135
Los Angeles Intl,Los Angeles,United States,-118.014,34.57,John F Kennedy Intl,New York,United States,-73.632,41.066,Air China,China,3921
Lanzhou Airport,Lanzhou,China,104.028,36.195,Jinan,Jinan,China,117.359,37.428,Air China,China,1193
Lhasa-Gonggar,Lhasa,China,91.519,29.496,Shuangliu,Chengdu,China,104.578,30.964,Air China,China,1264
Nyingchi Airport,Nyingchi,China,94.558,29.505,Shuangliu,Chengdu,China,104.578,30.964,Air China,China,975
Macau Intl,Macau,Macau,113.985,22.249,Xiaoshan,Hangzhou,China,120.724,30.382,Air China,China,1125
Macau Intl,Macau,Macau,113.985,22.249,Tianhe,Wuhan,China,114.346,31.306,Air China,China,1007
Franz Josef Strauss,Munich,Germany,12.31,48.589,Pudong,Shanghai,China,122.342,31.238,Air China,China,8755
Lishe,Ninbo,China,121.769,30.377,Wai Sha Airport,Shantou,China,117.138,23.666,Air China,China,875
Lukou,Nanjing,China,119.436,32.236,Jiangbei,Chongqing,China,107.069,30.198,Air China,China,1196
Lukou,Nanjing,China,119.436,32.236,Wujiaba,Kunming,China,103.239,25.653,Air China,China,1735
Lukou,Nanjing,China,119.436,32.236,Wusu,Taiyuan,China,113.047,38.244,Air China,China,884
Wuxu,Nanning,China,108.287,23.013,Changle,Fuzhou,China,120.105,26.558,Air China,China,1255
Narita Intl,Tokyo,Japan,140.643,36.274,Baiyun Intl,Guangzhou,China,113.497,23.654,Air China,China,2952
Narita Intl,Tokyo,Japan,140.643,36.274,Tianhe,Wuhan,China,114.346,31.306,Air China,China,2483
Gardermoen,Oslo,Norway,11.167,60.323,Arlanda,Stockholm,Sweden,18.531,60.086,Air China,China,407
Capital Intl,Beijing,China,116.974,40.133,Charles De Gaulle,Paris,France,2.916,49.021,Air China,China,8184
Capital Intl,Beijing,China,116.974,40.133,Shuangliu,Chengdu,China,104.578,30.964,Air China,China,1512
Capital Intl,Beijing,China,116.974,40.133,Dusseldorf,Duesseldorf,Germany,7.277,51.482,Air China,China,7771
Capital Intl,Beijing,China,116.974,40.133,Gimpo,Seoul,South Korea,127.317,37.93,Air China,China,925
Capital Intl,Beijing,China,116.974,40.133,Phuket Intl,Phuket,Thailand,98.528,8.188,Air China,China,3995
Capital Intl,Beijing,China,116.974,40.133,Yinchuan,Yinchuan,China,106.015,38.803,Air China,China,951
Capital Intl,Beijing,China,116.974,40.133,Kansai,Osaka,Japan,135.406,34.724,Air China,China,1731
Capital Intl,Beijing,China,116.974,40.133,Lhasa-Gonggar,Lhasa,China,91.519,29.496,Air China,China,2594
Capital Intl,Beijing,China,116.974,40.133,Franz Josef Strauss,Munich,Germany,12.31,48.589,Air China,China,7692
Capital Intl,Beijing,China,116.974,40.133,Narita Intl,Tokyo,Japan,140.643,36.274,Air China,China,2105
Capital Intl,Beijing,China,116.974,40.133,Tansonnhat Intl,Ho Chi Minh City,Vietnam,107.086,11.364,Air China,China,3343
Capital Intl,Beijing,China,116.974,40.133,Baoan Intl,Shenzhen,China,114.351,23.065,Air China,China,1913
Capital Intl,Beijing,China,116.974,40.133,Wusu,Taiyuan,China,113.047,38.244,Air China,China,398
Capital Intl,Beijing,China,116.974,40.133,Xiangfan Airport,Xiangfan,China,112.485,32.251,Air China,China,964
Capital Intl,Beijing,China,116.974,40.133,Yichang Airport,Yichang,China,111.735,31.118,Air China,China,1108
Capital Intl,Beijing,China,116.974,40.133,Zhuhai Airport,Zhuhai,China,113.626,22.01,Air China,China,2039
Pudong,Shanghai,China,122.342,31.238,Frankfurt Main,Frankfurt,Germany,8.905,50.044,Air China,China,8860
Pudong,Shanghai,China,122.342,31.238,Longdongbao,Guiyang,China,107.334,26.897,Air China,China,1534
Pudong,Shanghai,China,122.342,31.238,Narita Intl,Tokyo,Japan,140.643,36.274,Air China,China,1778
Pudong,Shanghai,China,122.342,31.238,Wenzhou Yongqiang Airport,Wenzhou,China,121.42,28.52,Air China,China,315
San Francisco Intl,San Francisco,United States,-121.959,38.031,Denver Intl,Denver,United States,-104.456,40.436,Air China,China,1528
Hongqiao Intl,Shanghai,China,121.56,31.329,Jingdezhen Airport,Jingdezhen,China,117.293,29.564,Air China,China,453
Hongqiao Intl,Shanghai,China,121.56,31.329,Sungshan,Taipei,Taiwan,121.92,25.116,Air China,China,691
Shenyang Taoxian International Airport,Shenyang,China,123.483,41.637,Xiaoshan,Hangzhou,China,120.724,30.382,Air China,China,1275
Shenyang Taoxian International Airport,Shenyang,China,123.483,41.637,Tianhe,Wuhan,China,114.346,31.306,Air China,China,1407
Shijiazhuang Daguocun International Airport,Shijiazhuang,China,115.162,38.467,Liuting,Qingdao,China,120.624,36.443,Air China,China,531
Phoenix International,Sanya,China,109.687,18.504,Jiangbei,Chongqing,China,107.069,30.198,Air China,China,1326
Phoenix International,Sanya,China,109.687,18.504,Binhai,Tianjin,China,117.576,39.207,Air China,China,2424
Baoan Intl,Shenzhen,China,114.351,23.065,Shuangliu,Chengdu,China,104.578,30.964,Air China,China,1305
Baoan Intl,Shenzhen,China,114.351,23.065,Xiaoshan,Hangzhou,China,120.724,30.382,Air China,China,1030
Baoan Intl,Shenzhen,China,114.351,23.065,Longdongbao,Guiyang,China,107.334,26.897,Air China,China,825
Baoan Intl,Shenzhen,China,114.351,23.065,Pudong,Shanghai,China,122.342,31.238,Air China,China,1203
Baoan Intl,Shenzhen,China,114.351,23.065,Wusu,Taiyuan,China,113.047,38.244,Air China,China,1692
Baoan Intl,Shenzhen,China,114.351,23.065,Yibin,Yibin,China,104.907,29.333,Air China,China,1171
Liuting,Qingdao,China,120.624,36.443,Changchun,Changchun,China,125.2,43.902,Air China,China,915
Liuting,Qingdao,China,120.624,36.443,Taiping,Harbin,China,126.417,46.039,Air China,China,1170
Liuting,Qingdao,China,120.624,36.443,Pudong,Shanghai,China,122.342,31.238,Air China,China,600
Liuting,Qingdao,China,120.624,36.443,Tianhe,Wuhan,China,114.346,31.306,Air China,China,813
Jinan,Jinan,China,117.359,37.428,Xinzheng,Zhengzhou,China,114.401,34.866,Air China,China,389
Jinan,Jinan,China,117.359,37.428,Xiaoshan,Hangzhou,China,120.724,30.382,Air China,China,842
Jinan,Jinan,China,117.359,37.428,Lishe,Ninbo,China,121.769,30.377,Air China,China,883
Jinan,Jinan,China,117.359,37.428,Wenzhou Yongqiang Airport,Wenzhou,China,121.42,28.52,Air China,China,1060
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Xiaoshan,Hangzhou,China,120.724,30.382,Air China,China,587
Binhai,Tianjin,China,117.576,39.207,Shuangliu,Chengdu,China,104.578,30.964,Air China,China,1493
Binhai,Tianjin,China,117.576,39.207,Phoenix International,Sanya,China,109.687,18.504,Air China,China,2424
Wusu,Taiyuan,China,113.047,38.244,Dongsheng,Dongsheng,China,110.055,40.416,Air China,China,352
Wusu,Taiyuan,China,113.047,38.244,Baoan Intl,Shenzhen,China,114.351,23.065,Air China,China,1692
Diwopu,Urumqi,China,87.79,44.511,Jiangbei,Chongqing,China,107.069,30.198,Air China,China,2320
Diwopu,Urumqi,China,87.79,44.511,Jinan,Jinan,China,117.359,37.428,Air China,China,2588
Weihai Airport,Weihai,China,122.381,37.311,Jinan,Jinan,China,117.359,37.428,Air China,China,443
Wenzhou Yongqiang Airport,Wenzhou,China,121.42,28.52,Pudong,Shanghai,China,122.342,31.238,Air China,China,315
Tianhe,Wuhan,China,114.346,31.306,Changchun,Changchun,China,125.2,43.902,Air China,China,1692
Tianhe,Wuhan,China,114.346,31.306,Yinchuan,Yinchuan,China,106.015,38.803,Air China,China,1125
Tianhe,Wuhan,China,114.346,31.306,Baoan Intl,Shenzhen,China,114.351,23.065,Air China,China,916
Wuxi Airport,Wuxi,China,120.715,31.824,Baiyun Intl,Guangzhou,China,113.497,23.654,Air China,China,1152
Xiangfan Airport,Xiangfan,China,112.485,32.251,Capital Intl,Beijing,China,116.974,40.133,Air China,China,964
Xianyang,Xi'an,China,109.252,34.745,Xiaoshan,Hangzhou,China,120.724,30.382,Air China,China,1178
Xianyang,Xi'an,China,109.252,34.745,Pudong,Shanghai,China,122.342,31.238,Air China,China,1280
Gaoqi,Xiamen,China,118.212,24.906,Soekarno Hatta Intl,Jakarta,Indonesia,107.093,-5.543,Air China,China,3593
Gaoqi,Xiamen,China,118.212,24.906,Changbei Intl,Nanchang,China,116.5,29.441,Air China,China,531
Gaoqi,Xiamen,China,118.212,24.906,Narita Intl,Tokyo,Japan,140.643,36.274,Air China,China,2482
Gaoqi,Xiamen,China,118.212,24.906,Tianhe,Wuhan,China,114.346,31.306,Air China,China,806
Yibin,Yibin,China,104.907,29.333,Baiyun Intl,Guangzhou,China,113.497,23.654,Air China,China,1062
Yichang Airport,Yichang,China,111.735,31.118,Capital Intl,Beijing,China,116.974,40.133,Air China,China,1108
Laishan,Yantai,China,121.619,37.669,Baiyun Intl,Guangzhou,China,113.497,23.654,Air China,China,1739
Laishan,Yantai,China,121.619,37.669,Jinan,Jinan,China,117.359,37.428,Air China,China,376
Zhanjiang Airport,Zhanjiang,China,110.596,21.357,Shuangliu,Chengdu,China,104.578,30.964,Air China,China,1224
Zhuhai Airport,Zhuhai,China,113.626,22.01,Gaoqi,Xiamen,China,118.212,24.906,Air China,China,567
Landvetter,Gothenborg,Sweden,12.466,58.104,Umea,Umea,Sweden,20.471,64.319,City Airline,Sweden,811
Zurich,Zurich,Switzerland,8.915,47.774,Landvetter,Gothenborg,Sweden,12.466,58.104,City Airline,Sweden,1172
Gurney Airport,Gurney Airport,Papua New Guinea,150.556,-9.853,Losuia Airport,Losuia,Papua New Guinea,151.135,-8.177,Airlines PNG,Papua New Guinea,196
Mount Hagen,Mount Hagen,Papua New Guinea,144.493,-5.712,Wewak Intl,Wewak,Papua New Guinea,144.115,-3.307,Airlines PNG,Papua New Guinea,270
Losuia Airport,Losuia,Papua New Guinea,151.135,-8.177,Gurney Airport,Gurney Airport,Papua New Guinea,150.556,-9.853,Airlines PNG,Papua New Guinea,196
Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,147.366,-9.073,Brisbane Intl,Brisbane,Australia,153.195,-26.974,Airlines PNG,Papua New Guinea,2082
Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,147.366,-9.073,Girua Airport,Girua Airport,Papua New Guinea,148.515,-8.675,Airlines PNG,Papua New Guinea,133
Kiunga Airport,Kiunga,Papua New Guinea,141.47,-5.543,Mount Hagen,Mount Hagen,Papua New Guinea,144.493,-5.712,Airlines PNG,Papua New Guinea,335
Suvarnabhumi Intl,Bangkok,Thailand,101.245,14.135,Schiphol,Amsterdam,Netherlands,5.273,52.514,China Airlines,Taiwan,9161
Jiangbei,Chongqing,China,107.069,30.198,Kaohsiung Intl,Kaohsiung,Taiwan,120.583,22.961,China Airlines,Taiwan,1564
Bali Ngurah Rai,Denpasar,Indonesia,115.278,-8.581,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,China Airlines,Taiwan,3806
Noibai Intl,Hanoi,Vietnam,106.345,21.368,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,China Airlines,Taiwan,1591
Incheon Intl,Seoul,South Korea,126.75,37.781,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,China Airlines,Taiwan,1495
Kaohsiung Intl,Kaohsiung,Taiwan,120.583,22.961,Narita Intl,Tokyo,Japan,140.643,36.274,China Airlines,Taiwan,2430
Kansai,Osaka,Japan,135.406,34.724,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,China Airlines,Taiwan,1718
Ninoy Aquino Intl,Manila,Philippines,121.032,14.847,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,China Airlines,Taiwan,1143
Capital Intl,Beijing,China,116.974,40.133,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,China Airlines,Taiwan,1718
Babelthuap,Babelthuap,Palau,134.907,7.612,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,China Airlines,Taiwan,2419
Juanda,Surabaya,Indonesia,113.311,-6.967,Changi Intl,Singapore,Singapore,104.657,1.583,China Airlines,Taiwan,1351
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Baiyun Intl,Guangzhou,China,113.497,23.654,China Airlines,Taiwan,815
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Frankfurt Main,Frankfurt,Germany,8.905,50.044,China Airlines,Taiwan,9348
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Incheon Intl,Seoul,South Korea,126.75,37.781,China Airlines,Taiwan,1495
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Chubu Centrair Intl,Nagoya,Japan,137.342,35.43,China Airlines,Taiwan,1908
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Babelthuap,Babelthuap,Palau,134.907,7.612,China Airlines,Taiwan,2419
Taoyuan Intl,Taipei,Taiwan,121.388,25.129,Schwechat,Vienna,Austria,16.949,48.183,China Airlines,Taiwan,8945
Tianhe,Wuhan,China,114.346,31.306,Taoyuan Intl,Taipei,Taiwan,121.388,25.129,China Airlines,Taiwan,972
Gustavo Rojas Pinilla,San Andres Island,Colombia,-81.519,12.972,Jose Maria Cordova,Rio Negro,Colombia,-75.039,6.274,Copa Airlines,Panama,1028
Palonegro,Bucaramanga,Colombia,-72.642,7.21,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Copa Airlines,Panama,249
Eldorado Intl,Bogota,Colombia,-73.579,5.169,Rafael Nunez,Cartagena,Colombia,-75.189,10.737,Copa Airlines,Panama,643
Eldorado Intl,Bogota,Colombia,-73.579,5.169,Tocumen Intl,Panama City,Panama,-78.973,9.118,Copa Airlines,Panama,739
Simon Bolivar Intl,Caracas,Venezuela,-66.985,11.005,Tocumen Intl,Panama City,Panama,-78.973,9.118,Copa Airlines,Panama,1329
Rafael Nunez,Cartagena,Colombia,-75.189,10.737,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Copa Airlines,Panama,643
Newark Liberty Intl,Newark,United States,-73.615,41.154,General Edward Lawrence Logan Intl,Boston,United States,-70.342,42.607,Copa Airlines,Panama,315
Galeao Antonio Carlos Jobim,Rio De Janeiro,Brazil,-42.74,-22.682,Tocumen Intl,Panama City,Panama,-78.973,9.118,Copa Airlines,Panama,5297
Jose Marti Intl,Havana,Cuba,-82.016,23.648,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Copa Airlines,Panama,2244
George Bush Intcntl Houston,Houston,United States,-94.903,30.64,Denver Intl,Denver,United States,-104.456,40.436,Copa Airlines,Panama,1388
George Bush Intcntl Houston,Houston,United States,-94.903,30.64,Mc Allen Miller Intl,Mcallen,United States,-97.732,26.293,Copa Airlines,Panama,556
George Bush Intcntl Houston,Houston,United States,-94.903,30.64,Phoenix Sky Harbor Intl,Phoenix,United States,-111.353,33.723,Copa Airlines,Panama,1583
George Bush Intcntl Houston,Houston,United States,-94.903,30.64,Tampa Intl,Tampa,United States,-82.223,28.625,Copa Airlines,Panama,1245
La Guardia,New York,United States,-73.788,41.295,George Bush Intcntl Houston,Houston,United States,-94.903,30.64,Copa Airlines,Panama,2230
Jose Maria Cordova,Rio Negro,Colombia,-75.039,6.274,Eldorado Intl,Bogota,Colombia,-73.579,5.169,Copa Airlines,Panama,202
Managua Intl,Managua,Nicaragua,-85.614,12.235,Tocumen Intl,Panama City,Panama,-78.973,9.118,Copa Airlines,Panama,804
Lynden Pindling Intl,Nassau,Bahamas,-77.111,25.064,Tocumen Intl,Panama City,Panama,-78.973,9.118,Copa Airlines,Panama,1784
Philadelphia Intl,Philadelphia,United States,-74.736,40.453,George Bush Intcntl Houston,Houston,United States,-94.903,30.64,Copa Airlines,Panama,2118
Tocumen Intl,Panama City,Panama,-78.973,9.118,Palonegro,Bucaramanga,Colombia,-72.642,7.21,Copa Airlines,Panama,728
Tocumen Intl,Panama City,Panama,-78.973,9.118,Camilo Daza,Cucuta,Colombia,-72.186,8.545,Copa Airlines,Panama,748
Tocumen Intl,Panama City,Panama,-78.973,9.118,Jose Joaquin De Olmedo Intl,Guayaquil,Ecuador,-79.806,-1.596,Copa Airlines,Panama,1194
Tocumen Intl,Panama City,Panama,-78.973,9.118,Eduardo Gomes Intl,Manaus,Brazil,-59.417,-2.398,Copa Airlines,Panama,2517
Tocumen Intl,Panama City,Panama,-78.973,9.118,General Mariano Escobedo Intl,Monterrey,Mexico,-99.512,26.297,Copa Airlines,Panama,2886
Tocumen Intl,Panama City,Panama,-78.973,9.118,Punta Cana Intl,Punta Cana,Dominican Republic,-67.94,18.945,Copa Airlines,Panama,1614
Tocumen Intl,Panama City,Panama,-78.973,9.118,Toncontin Intl,Tegucigalpa,Honduras,-86.696,14.101,Copa Airlines,Panama,1006
San Antonio Intl,San Antonio,United States,-98.117,29.889,George Bush Intcntl Houston,Houston,United States,-94.903,30.64,Copa Airlines,Panama,319
Juan Santamaria Intl,San Jose,Costa Rica,-83.682,10.656,Tocumen Intl,Panama City,Panama,-78.973,9.118,Copa Airlines,Panama,543
General Francisco Javier Mina Intl,Tampico,Mexico,-97.777,22.494,Licenciado Benito Juarez Intl,Mexico City,Mexico,-98.454,19.727,Copa Airlines,Panama,315
Lester B Pearson Intl,Toronto,Canada,-79.385,44.128,Tocumen Intl,Panama City,Panama,-78.973,9.118,Copa Airlines,Panama,3893
